,State,comp_2021,eng_2021,math_2021,read_2021,sci_2021,part_2021
0,Alabama ,0.5205882352941176,0.5117647058823529,0.5,0.5352941176470588,0.5235294117647059,1.0
1,Alaska ,0.5764705882352942,0.5411764705882353,0.5735294117647058,0.6058823529411765,0.5764705882352942,0.16
2,Arizona ,0.5529411764705883,0.5176470588235295,0.5529411764705883,0.5676470588235294,0.5558823529411764,0.35
3,Arkansas ,0.5294117647058824,0.5176470588235295,0.5088235294117647,0.538235294117647,0.5352941176470588,0.99
4,California ,0.7382352941176471,0.7411764705882353,0.723529411764706,0.7529411764705882,0.7205882352941176,0.05
5,Colorado ,0.6647058823529413,0.6558823529411765,0.6470588235294118,0.6852941176470588,0.6588235294117647,0.16
6,Connecticut ,0.7705882352941176,0.7794117647058824,0.7411764705882353,0.7941176470588235,0.7470588235294118,0.09
7,Delaware ,0.7264705882352941,0.7323529411764705,0.6911764705882353,0.7647058823529411,0.7058823529411765,0.05
8,District Of Columbia ,0.723529411764706,0.7294117647058824,0.6911764705882353,0.7588235294117647,0.7058823529411765,0.19
9,Florida ,0.5705882352941176,0.5558823529411764,0.5470588235294118,0.6,0.5617647058823529,0.34
10,Georgia ,0.6352941176470589,0.6205882352941177,0.6147058823529411,0.6588235294117647,0.6294117647058823,0.24
11,Hawaii ,0.5058823529411764,0.4647058823529412,0.5029411764705882,0.5176470588235295,0.5205882352941176,0.67
12,Idaho ,0.6470588235294118,0.6264705882352941,0.6264705882352941,0.6794117647058824,0.638235294117647,0.16
13,Illinois ,0.711764705882353,0.7147058823529412,0.6911764705882353,0.7294117647058824,0.6941176470588236,0.19
14,Indiana ,0.65,0.6235294117647059,0.6411764705882353,0.6735294117647058,0.6411764705882353,0.14
15,Iowa ,0.6029411764705882,0.5705882352941176,0.5823529411764706,0.6294117647058823,0.611764705882353,0.47
16,Kansas ,0.5558823529411764,0.526470588235294,0.5441176470588235,0.5764705882352942,0.5647058823529412,0.79
17,Kentucky ,0.5352941176470588,0.5205882352941176,0.5235294117647059,0.5499999999999999,0.538235294117647,1.0
18,Louisiana ,0.5117647058823529,0.5029411764705882,0.49411764705882355,0.5235294117647059,0.5176470588235295,0.98
19,Maine ,0.723529411764706,0.7264705882352941,0.6882352941176471,0.7588235294117647,0.7058823529411765,0.02
20,Maryland ,0.7205882352941176,0.7264705882352941,0.6911764705882353,0.75,0.7029411764705882,0.08
21,Massachusetts ,0.7823529411764706,0.7823529411764706,0.7617647058823529,0.8058823529411764,0.7588235294117647,0.07
22,Michigan ,0.7088235294117647,0.7088235294117647,0.6911764705882353,0.7264705882352941,0.6941176470588236,0.09
23,Minnesota ,0.6058823529411765,0.5647058823529412,0.6029411764705882,0.6235294117647059,0.6176470588235294,0.6
24,Mississippi ,0.5029411764705882,0.4852941176470588,0.4882352941176471,0.5117647058823529,0.5088235294117647,1.0
25,Missouri ,0.5764705882352942,0.5558823529411764,0.5558823529411764,0.5970588235294118,0.5794117647058823,0.63
26,Montana ,0.5705882352941176,0.5352941176470588,0.5588235294117647,0.5911764705882353,0.5794117647058823,0.7
27,Nebraska ,0.5588235294117647,0.5323529411764706,0.5470588235294118,0.5794117647058823,0.5647058823529412,0.86
28,Nevada ,0.49411764705882355,0.4617647058823529,0.49117647058823527,0.5058823529411764,0.5058823529411764,1.0
29,New Hampshire ,0.7529411764705882,0.75,0.7323529411764705,0.776470588235294,0.7382352941176471,0.04
30,New Jersey ,0.7088235294117647,0.7147058823529412,0.6970588235294117,0.7264705882352941,0.6882352941176471,0.12
31,New Mexico ,0.5794117647058823,0.5499999999999999,0.5617647058823529,0.6058823529411765,0.5852941176470587,0.23
32,New York ,0.7441176470588236,0.7382352941176471,0.7264705882352941,0.7647058823529411,0.7323529411764705,0.09
33,North Carolina ,0.526470588235294,0.47941176470588237,0.5294117647058824,0.5411764705882353,0.538235294117647,0.92
34,North Dakota ,0.5470588235294118,0.5058823529411764,0.5499999999999999,0.5588235294117647,0.5617647058823529,1.0
35,Ohio ,0.5470588235294118,0.5147058823529411,0.5441176470588235,0.5647058823529412,0.5529411764705883,0.85
36,Oklahoma ,0.5499999999999999,0.5323529411764706,0.5205882352941176,0.5794117647058823,0.5529411764705883,0.58
37,Oregon ,0.5764705882352942,0.5470588235294118,0.5676470588235294,0.5970588235294118,0.5823529411764706,0.2
38,Pennsylvania ,0.7058823529411765,0.7000000000000001,0.6852941176470588,0.7294117647058824,0.6911764705882353,0.07
39,Rhode Island ,0.7294117647058824,0.7264705882352941,0.7000000000000001,0.7647058823529411,0.711764705882353,0.04
40,South Carolina ,0.5176470588235295,0.48235294117647054,0.5117647058823529,0.5352941176470588,0.526470588235294,0.5
41,South Dakota ,0.6058823529411765,0.5735294117647058,0.5941176470588235,0.6294117647058823,0.6147058823529411,0.55
42,Tennessee ,0.5323529411764706,0.5205882352941176,0.5147058823529411,0.5499999999999999,0.5323529411764706,1.0
43,Texas ,0.5617647058823529,0.526470588235294,0.5588235294117647,0.5764705882352942,0.5676470588235294,0.23
44,Utah ,0.5764705882352942,0.5499999999999999,0.5617647058823529,0.5970588235294118,0.5823529411764706,0.86
45,Vermont ,0.6970588235294117,0.6823529411764706,0.6588235294117647,0.7411764705882353,0.6911764705882353,0.04
46,Virginia ,0.7205882352941176,0.7205882352941176,0.6911764705882353,0.75,0.7088235294117647,0.09
47,Washington ,0.6647058823529413,0.6441176470588235,0.65,0.6882352941176471,0.6588235294117647,0.07
48,West Virginia ,0.5823529411764706,0.5764705882352942,0.5470588235294118,0.611764705882353,0.5823529411764706,0.3
49,Wisconsin ,0.5588235294117647,0.526470588235294,0.5558823529411764,0.5676470588235294,0.5705882352941176,0.96
50,Wyoming ,0.5529411764705883,0.5176470588235295,0.5411764705882353,0.5794117647058823,0.5647058823529412,0.91
